name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
"Forced Vengeance",R,Action,1982,1982-07-30,5.6,2900,"James Fargo","Franklin Thompson","Chuck Norris","United States",5000000,6660333,"Metro-Goldwyn-Mayer (MGM)",90
"Night Crossing",PG,Drama,1982,1982-02-05,6.5,1300,"Delbert Mann","John McGreevey","John Hurt","United Kingdom",10000000,8000000,"Walt Disney Productions",107
"Things Are Tough All Over",R,Action,1982,1982-08-04,6,3100,"Thomas K. Avildsen","Cheech Marin","Toni Attell","United States",7000000,21134374,"C & C Brown Production",90
Jinxed!,R,Comedy,1982,1982-10-22,4.7,984,"Don Siegel","Frank D. Gilroy","Bette Midler","United States",13400000,2869638,"Herb Jaffe",103
"Five Days One Summer",PG,Drama,1982,1982,6.1,1000,"Fred Zinnemann","Michael Austin","Sean Connery","United States",15000000,199078,"Cable and Wireless Finance",108
Partners,R,Comedy,1982,1982-04-30,5.3,1200,"James Burrows","Francis Veber","Ryan O'Neal","United States",6000000,6062898,"Paramount Pictures",93
"Yes, Giorgio",PG,Comedy,1982,1982-09-24,3.9,653,"Franklin J. Schaffner","Anne Piper","Luciano Pavarotti","United States",19000000,2279543,"Metro-Goldwyn-Mayer (MGM)",110
Scarface,R,Crime,1983,1983-12-09,8.3,766000,"Brian De Palma","Oliver Stone","Al Pacino","United States",25000000,65884703,"Universal Pictures",170
"The Outsiders",PG,Crime,1983,1983-03-25,7.1,78000,"Francis Ford Coppola","Kathleen Rowell","C. Thomas Howell","United States",10000000,25697647,"Zoetrope Studios",91
"Star Wars: Episode VI - Return of the Jedi",PG,Action,1983,1983-05-25,8.3,973000,"Richard Marquand","Lawrence Kasdan","Mark Hamill","United States",32500000,475106177,Lucasfilm,131
"Risky Business",R,Comedy,1983,1983-08-05,6.8,83000,"Paul Brickman","Paul Brickman","Tom Cruise","United States",6200000,63541777,"The Geffen Company",99
"National Lampoon's Vacation",R,Adventure,1983,1983-07-29,7.4,100000,"Harold Ramis","John Hughes","Chevy Chase","United States",15000000,61399552,"National Lampoon",98
"Trading Places",R,Comedy,1983,1983-06-08,7.5,141000,"John Landis","Timothy Harris","Eddie Murphy","United States",15000000,90404800,"Cinema Group Ventures",116
"Superman III",PG,Action,1983,1983-06-17,5,66000,"Richard Lester","Jerry Siegel","Christopher Reeve",France,39000000,59950623,"Dovemead Films",125
"The Big Chill",R,Comedy,1983,1983-09-30,7.2,34000,"Lawrence Kasdan","Lawrence Kasdan","Tom Berenger","United States",8000000,56399659,"Columbia Pictures",105
"Staying Alive",PG,Drama,1983,1983-07-15,4.7,15000,"Sylvester Stallone","Nik Cohn","John Travolta","United States",22000000,64892670,"Paramount Pictures",93
"Jaws 3-D",PG,Adventure,1983,1983-07-22,3.7,41000,"Joe Alves","Peter Benchley","Dennis Quaid","United States",20500000,87987055,"Universal Pictures",99
Christine,R,Horror,1983,1983-12-09,6.7,75000,"John Carpenter","Stephen King","Keith Gordon","United States",9700000,21017849,"Columbia Pictures",110
Flashdance,R,Drama,1983,1983-04-15,6.2,50000,"Adrian Lyne","Thomas Hedley Jr.","Jennifer Beals","United States",4000000,92921203,"Paramount Pictures",95
WarGames,PG,Action,1983,1983-06-03,7.1,93000,"John Badham","Lawrence Lasker","Matthew Broderick","United States",12000000,79567667,"United Artists",114
"The Right Stuff",PG,Adventure,1983,1984-02-17,7.8,57000,"Philip Kaufman","Philip Kaufman","Sam Shepard","United States",27000000,21192315,"The Ladd Company",193
Krull,PG,Action,1983,1983-07-29,6.1,31000,"Peter Yates","Stanford Sherman","Ken Marshall","United Kingdom",47000000,16916617,"Columbia Pictures",121
"The Dead Zone",R,Drama,1983,1983-10-21,7.2,65000,"David Cronenberg","Jeffrey Boam","Christopher Walken","United States",10000000,20766616,"Dino De Laurentiis Company",103
Octopussy,PG,Action,1983,1983-06-10,6.5,98000,"John Glen","George MacDonald Fraser","Roger Moore","United Kingdom",27500000,67893619,"United Artists",131
"Private School",R,Comedy,1983,1983-07-29,5.3,6100,"Noel Black","Dan Greenburg","Phoebe Cates","United States",3500000,14049540,"Unity Productions",89
"Valley Girl",R,Comedy,1983,1983-04-29,6.4,14000,"Martha Coolidge","Andrew Lane","Nicolas Cage","United States",350000,17343596,"Atlantic Entertainment Group",99
"Rumble Fish",R,Crime,1983,1983-10-21,7.2,32000,"Francis Ford Coppola","S.E. Hinton","Matt Dillon","United States",10000000,2494480,"Zoetrope Studios",94
Videodrome,R,Horror,1983,1983-02-04,7.2,86000,"David Cronenberg","David Cronenberg","James Woods",Canada,5952000,2120439,"Filmplan International",87
"Terms of Endearment",PG,Comedy,1983,1983-12-09,7.4,57000,"James L. Brooks","Larry McMurtry","Shirley MacLaine","United States",8000000,108423749,"Paramount Pictures",132
"Twilight Zone: The Movie",PG,Horror,1983,1983-06-24,6.5,34000,Directors,"John Landis","Dan Aykroyd","United States",10000000,29450919,"Amblin Entertainment",101
"Never Say Never Again",PG,Action,1983,1983-10-07,6.2,63000,"Irvin Kershner","Kevin McClory","Sean Connery","United Kingdom",36000000,55432841,"TaliaFilm II Productions",134
"A Christmas Story",PG,Comedy,1983,1983-11-18,7.9,134000,"Bob Clark","Jean Shepherd","Peter Billingsley","United States",3300000,20653717,"Metro-Goldwyn-Mayer (MGM)",93
Cujo,R,Horror,1983,1983-08-12,6.1,41000,"Lewis Teague","Stephen King","Dee Wallace","United States",5000000,21156152,"Sunn Classic Pictures",93
"Sudden Impact",R,Action,1983,1983-12-09,6.6,42000,"Clint Eastwood","Harry Julian Fink","Clint Eastwood","United States",22000000,67642693,"Warner Bros.",117
"Blue Thunder",R,Action,1983,1983-05-13,6.4,18000,"John Badham","Dan O'Bannon","Roy Scheider","United States",22000000,42313354,"Columbia Pictures",109
Breathless,R,Action,1983,1983-05-13,5.9,8700,"Jim McBride","FranÃ§ois Truffaut","Richard Gere","United States",7500000,19910002,"Breathless Associates",100
"Psycho II",R,Crime,1983,1983-06-03,6.5,25000,"Richard Franklin","Tom Holland","Anthony Perkins","United States",5000000,34725000,"Universal Pictures",113
Silkwood,R,Biography,1983,1984-01-27,7.2,19000,"Mike Nichols","Nora Ephron","Meryl Streep","United States",10000000,35615609,"ABC Motion Pictures",131
"All the Right Moves",R,Drama,1983,1983-10-21,5.9,16000,"Michael Chapman","Michael Kane","Tom Cruise","United States",5600000,17233166,"Lucille Ball Productions",91
"The Keep",R,Drama,1983,1983-12-16,5.7,11000,"Michael Mann","F. Paul Wilson","Scott Glenn","United Kingdom",11000000,4218594,"Paramount Pictures",96
Yentl,PG,Drama,1983,1984-01-06,6.6,13000,"Barbra Streisand","Jack Rosenthal","Barbra Streisand","United Kingdom",12000000,40218899,Ladbroke,133
"Fire and Ice",PG,Animation,1983,1983-08-26,6.6,10000,"Ralph Bakshi","Ralph Bakshi","Randy Norton","United States",1200000,760883,"Polyc International BV",81
Yellowbeard,PG,Action,1983,1983-06-24,6,7500,"Mel Damski","Graham Chapman","Graham Chapman","United Kingdom",6500000,4300000,"Seagoat Films",96
"The Meaning of Life",R,Comedy,1983,1983-03-31,7.5,115000,"Terry Jones","Graham Chapman","John Cleese","United Kingdom",9000000,14949697,"Celandine Films",107
Deathstalker,R,Action,1983,1983-09-16,4.6,4600,"James Sbardellati","Howard R. Cohen","Rick Hill","United States",457000,11919250,"Aries CinematogrÃ¡fica Argentina",80
"Porky's II: The Next Day",R,Comedy,1983,1983-06-24,5,11000,"Bob Clark","Roger Swaybill","Dan Monahan",Canada,6500000,33759266,"Astral Bellevue PathÃ©",98
"Something Wicked This Way Comes",PG,Fantasy,1983,1983-04-29,6.8,8600,"Jack Clayton","Ray Bradbury","Jason Robards","United States",19000000,8400000,"Walt Disney Productions",95
"Star 80",R,Biography,1983,1984-02-03,6.7,6000,"Bob Fosse","Teresa Carpenter","Mariel Hemingway","United States",12000000,6472990,"The Ladd Company",103
"Gorky Park",R,Crime,1983,1983-12-16,6.7,13000,"Michael Apted","Martin Cruz Smith","William Hurt","United States",15000000,15856028,"Eagle Associates.",128
"Lone Wolf McQuade",PG,Action,1983,1983-04-15,6.3,11000,"Steve Carver","B.J. Nelson","Chuck Norris","United States",5000000,12232628,"1818 Productions",107
"Losin' It",R,Comedy,1983,1983-04-22,4.9,4200,"Curtis Hanson","Bill Norton","Tom Cruise",Canada,7000000,1246141,"Tiberius Film Productions",100
Screwballs,R,Comedy,1983,1983-04-01,4.7,3000,"Rafal Zielinski","Linda Shayne","Peter Keleghan",Canada,800000,2082215,Millenium,80
Brainstorm,PG,Sci-Fi,1983,1983-09-30,6.4,11000,"Douglas Trumbull","Bruce Joel Rubin","Christopher Walken","United States",15000000,10219460,"JF Productions",106
Angel,R,Action,1983,1984-01-13,5.7,2900,"Robert Vincent O'Neil","Robert Vincent O'Neil","Cliff Gorman","United States",3000000,17488564,"Adams Apple Film Company",94
"10 to Midnight",R,Crime,1983,1983-03-11,6.3,7200,"J. Lee Thompson","William Roberts","Charles Bronson","United States",4520000,7175592,"Cannon Films",101
"Uncommon Valor",R,Action,1983,1983-12-16,6.4,9300,"Ted Kotcheff","Joe Gayton","Gene Hackman","United States",14500000,30503151,"Paramount Pictures",105
Mortuary,R,Horror,1983,1983-09-02,5.2,1900,"Howard Avedis","Howard Avedis","Mary Beth McDonough","United States",250000,4319001,"Hickmar Productions",93
Sahara,PG,Adventure,1983,1984-03-02,5,1500,"Andrew V. McLaglen","Menahem Golan","Brooke Shields","United Kingdom",25000000,1402962,"Cabal Film",111
"Two of a Kind",PG,Comedy,1983,1983-12-16,4.7,3900,"John Herzfeld","John Herzfeld","John Travolta","United States",14000000,23646952,"Twentieth Century Fox",88
"Chained Heat",R,Action,1983,1983-05-27,5,2100,"Paul Nicholas","Aaron Butler","Linda Blair","United States",1250000,6149983,"Heat GBR",95
"Spacehunter: Adventures in the Forbidden Zone",PG,Action,1983,1983-05-20,5.5,5500,"Lamont Johnson","Stewart Harding","Peter Strauss","United States",14400000,16478265,"Columbia Pictures",90
"High Road to China",PG,Adventure,1983,1983-03-18,6.1,5100,"Brian G. Hutton","Jon Cleary","Tom Selleck","United States",19000000,28445927,"City Films",105
"Rock & Rule",PG,Animation,1983,1987-07-24,6.5,3400,"Clive Smith","Patrick Loubert","Don Francks",Canada,8000000,30379,Nelvana,77
Hercules,PG,Adventure,1983,1983-08-26,4,3600,"Luigi Cozzi","Luigi Cozzi","Lou Ferrigno",Italy,2500000,10676194,"Cannon Films Inc.",98
"Under Fire",R,Drama,1983,1983-10-21,7,7200,"Roger Spottiswoode","Ron Shelton","Nick Nolte","United States",9500000,5696391,"Cinema '84",128
"Amityville 3-D",PG,Horror,1983,1983-11-18,4.1,6000,"Richard Fleischer","David Ambrose","Tony Roberts",Mexico,6000000,6333135,"De Laurentiis Entertainment Group (DEG)",105
"The Osterman Weekend",R,Action,1983,1983-11-04,5.9,8200,"Sam Peckinpah","Robert Ludlum","Rutger Hauer","United States",6500000,6486797,"Osterman Weekend Associates",103
"Revenge of the Ninja",R,Action,1983,1983-09-16,6.1,4700,"Sam Firstenberg","James R. Silke","ShÃ´ Kosugi","United States",700000,13168027,"Cannon Films",90
"To Be or Not to Be",PG,Comedy,1983,1983-12-16,6.8,10000,"Alan Johnson","Thomas Meehan","Mel Brooks","United States",9000000,13030214,Brooksfilms,107
"The Wicked Lady",R,Adventure,1983,1983-10-28,4.7,1100,"Michael Winner","Leslie Arliss","Faye Dunaway","United Kingdom",8000000,724912,"Golan-Globus Productions",98
"Of Unknown Origin",R,Horror,1983,1983-11-24,6.1,2900,"George P. Cosmatos","Chauncey G. Parker III","Peter Weller",Canada,4000000,1080470,"Warner Bros.",88
"Curse of the Pink Panther",PG,Comedy,1983,1983-08-12,4.3,5700,"Blake Edwards","Blake Edwards","David Niven","United Kingdom",11000000,4491986,"United Artists",109
"D.C. Cab",R,Action,1983,1983-12-16,5.5,4400,"Joel Schumacher","Topper Carew","Max Gail","United States",8000000,16134627,"RKO Pictures",100
"Beyond the Limit",R,Drama,1983,1983-09-30,5.7,1200,"John Mackenzie","Graham Greene","Michael Caine","United Kingdom",11800000,5997566,"World Film Services",104
"The Survivors",R,Comedy,1983,1983-06-22,5.8,4700,"Michael Ritchie","Michael Leeson","Walter Matthau","United States",12000000,14000000,"Rastar Films",103
"The Lonely Lady",R,Drama,1983,1983-09-30,3,938,"Peter Sasdy","Harold Robbins","Pia Zadora","United States",5000000,1223200,"Harold Robbins International Company",92
"The Man Who Loved Women",R,Comedy,1983,1983-12-16,5.3,2200,"Blake Edwards","Blake Edwards","Burt Reynolds","United States",19000000,10964740,"Delphi Films",110
Nightmares,R,Horror,1983,1983-09-09,5.8,3000,"Joseph Sargent","Christopher Crowe","Cristina Raines","United States",6000000,6670680,"Universal Pictures",99
"Deal of the Century",PG,Comedy,1983,1983-11-04,4.6,3600,"William Friedkin","Paul Brickman","Chevy Chase","United States",10000000,10369581,"Warner Bros.",99
"Eddie Macon's Run",PG,Action,1983,1983-03-25,5.7,1100,"Jeff Kanew","James McLendon","Kirk Douglas","United States",5000000,1262691,"Universal Pictures",95
"Baby It's You",R,Comedy,1983,1983-03-04,6.3,1700,"John Sayles","Amy Robinson","Rosanna Arquette","United States",3000000,1867792,"Double Play",105
"Love Letters",R,Drama,1983,1984-04-27,5.9,701,"Amy Holden Jones","Amy Holden Jones","Jamie Lee Curtis","United States",550000,5269990,Millenium,88
"Get Crazy",R,Comedy,1983,1983-08-05,6.7,1100,"Allan Arkush","Danny Opatoshu","Malcolm McDowell","United States",5500000,1645711,"D & P Productions",92
"Nate and Hayes",PG,Action,1983,1983-11-18,6.2,2100,"Ferdinand Fairfax","Lloyd Phillips","Tommy Lee Jones","New Zealand",12000000,1963756,"Phillips Whitehouse Productions",99
"Getting It on",R,Comedy,1983,"August 1983",3.7,208,"William Olsen","William Olsen","Martin Yost","United States",220000,975414,"Seventh Avenue Films",96
Lianna,R,Drama,1983,1983-09-08,6.8,1600,"John Sayles","John Sayles","Linda Griffiths","United States",300000,1530839,"Winwood Productions",110
Lovesick,PG,Comedy,1983,1983-02-18,5.2,747,"Marshall Brickman","Marshall Brickman","Dudley Moore","United States",10100000,10171304,"The Ladd Company",95
"Running Brave",PG,Biography,1983,1983-11-04,6.7,659,"Donald Shebib","Henry Bean","Robby Benson",Canada,8000000,3000000,"Englander Productions",106
Trenchcoat,PG,Comedy,1983,1983-03-11,5.3,456,"Michael Tuchner","Jeffrey Price","Margot Kidder","United States",5000000,4304286,"Walt Disney Productions",91
"My Brother's Wedding","Not Rated",Drama,1983,"March 1985",7.2,826,"Charles Burnett","Charles Burnett","Everett Silas","United States",50000,26177,"Charles Burnett Productions",115
"The Terminator",R,Action,1984,1984-10-26,8,812000,"James Cameron","James Cameron","Arnold Schwarzenegger","United Kingdom",6400000,78371200,"Cinema '84",107
Dune,PG-13,Action,1984,1984-12-14,6.5,132000,"David Lynch","Frank Herbert","Kyle MacLachlan","United States",40000000,30925690,"Dino De Laurentiis Company",137
Ghostbusters,PG,Action,1984,1984-06-08,7.8,365000,"Ivan Reitman","Dan Aykroyd","Bill Murray","United States",30000000,296187079,"Columbia Pictures",105
"The Karate Kid",PG,Action,1984,1984-06-22,7.3,205000,"John G. Avildsen","Robert Mark Kamen","Ralph Macchio","United States",8000000,91119319,"Columbia Pictures",126
"Once Upon a Time in America",R,Crime,1984,1984-06-01,8.4,321000,"Sergio Leone","Harry Grey","Robert De Niro",Italy,30000000,5473212,"The Ladd Company",229
"Police Academy",R,Comedy,1984,1984-03-23,6.7,118000,"Hugh Wilson","Neal Israel","Steve Guttenberg","United States",4500000,81198894,"The Ladd Company",96
"Indiana Jones and the Temple of Doom",PG,Action,1984,1984-05-23,7.5,459000,"Steven Spielberg","Willard Huyck","Harrison Ford","United States",28000000,333107271,"Paramount Pictures",118
"Body Double",R,Crime,1984,1984-10-26,6.8,30000,"Brian De Palma","Robert J. Avrech","Craig Wasson","United States",10000000,8801940,"Columbia Pictures",114
"A Nightmare on Elm Street",R,Horror,1984,1984-11-16,7.5,212000,"Wes Craven","Wes Craven","Heather Langenkamp","United States",1800000,25507137,"New Line Cinema",91
Amadeus,PG,Biography,1984,1984-09-19,8.3,377000,"Milos Forman","Peter Shaffer","F. Murray Abraham","United States",18000000,52066791,AMLF,160
"Beverly Hills Cop",R,Action,1984,1984-12-05,7.3,171000,"Martin Brest","Daniel Petrie Jr.","Eddie Murphy","United States",14000000,316360478,"Paramount Pictures",105
"Red Dawn",PG-13,Action,1984,1984-08-10,6.4,53000,"John Milius","Kevin Reynolds","Patrick Swayze","United States",17000000,38376497,"United Artists",114
"The NeverEnding Story",PG,Adventure,1984,1984-07-20,7.4,135000,"Wolfgang Petersen","Wolfgang Petersen","Noah Hathaway","West Germany",27000000,20251411,"Constantin Film",102
Footloose,PG,Drama,1984,1984-02-17,6.6,73000,"Herbert Ross","Dean Pitchford","Kevin Bacon","United States",8200000,80039064,"Paramount Pictures",107
"Revenge of the Nerds",R,Comedy,1984,1984-08-10,6.6,50000,"Jeff Kanew","Tim Metcalfe","Robert Carradine","United States",8000000,40874452,"Twentieth Century Fox",90
Gremlins,PG,Comedy,1984,1984-06-08,7.3,204000,"Joe Dante","Chris Columbus","Zach Galligan","United States",11000000,153633143,"Warner Bros.",106
"Romancing the Stone",PG,Action,1984,1984-03-30,6.9,86000,"Robert Zemeckis","Diane Thomas","Michael Douglas",Mexico,10000000,86572238,"Twentieth Century Fox",106
"Streets of Fire",PG,Action,1984,1984-06-01,6.7,19000,"Walter Hill","Walter Hill","Michael ParÃ©","United States",14500000,8089290,"Universal Pictures",93
"Sixteen Candles",PG,Comedy,1984,1984-05-04,7,108000,"John Hughes","John Hughes","Molly Ringwald","United States",6500000,23686027,"Universal Pictures",93
"This Is Spinal Tap",R,Comedy,1984,1984-03-02,7.9,132000,"Rob Reiner","Christopher Guest","Rob Reiner","United States",2500000,4736202,"Spinal Tap Prod.",82
"Top Secret!",PG,Comedy,1984,1984-06-08,7.2,62000,"Jim Abrahams","Jim Abrahams","Val Kilmer","United Kingdom",9000000,20458340,"Kingsmere Properties",90
"Conan the Destroyer",PG,Action,1984,1984-06-29,5.9,77000,"Richard Fleischer","Robert E. Howard","Arnold Schwarzenegger","United States",18000000,31042035,"Dino De Laurentiis Company",103
"Children of the Corn",R,Horror,1984,1984-03-09,5.6,49000,"Fritz Kiersch","Stephen King","Peter Horton","United States",800000,14568989,"Hal Roach Studios",92
"The Last Starfighter",PG,Action,1984,1984-07-13,6.8,39000,"Nick Castle","Jonathan R. Betuel","Lance Guest","United States",15000000,28733290,"Lorimar Film Entertainment",101
Splash,PG,Comedy,1984,1984-03-09,6.3,71000,"Ron Howard","Brian Grazer","Tom Hanks","United States",8000000,69821334,"Touchstone Pictures",111
"Blood Simple",R,Crime,1984,1985-01-18,7.6,91000,"Joel Coen","Joel Coen","John Getz","United States",1500000,4228292,"River Road Productions",99
"The Natural",PG,Drama,1984,1984-05-11,7.5,46000,"Barry Levinson","Bernard Malamud","Robert Redford","United States",28000000,47951979,"TriStar Pictures",138
"Bachelor Party",R,Comedy,1984,1984-06-29,6.3,36000,"Neal Israel","Bob Israel","Tom Hanks","United States",5000000,38435947,"Bachelor Party Productions",105
"NausicaÃ¤ of the Valley of the Wind",,Animation,1984,1987-11-25,8.1,157000,"Hayao Miyazaki","Hayao Miyazaki","Sumi Shimamoto",Japan,1000000,8736506,Nibariki,117
"Friday the 13th: the Final Chapter",R,Horror,1984,1984-04-13,6,47000,"Joseph Zito","Victor Miller","Erich Anderson","United States",2600000,32980880,"Paramount Pictures",91
"Against All Odds",R,Action,1984,1984-03-02,5.9,11000,"Taylor Hackford","Eric Hughes","Rachel Ward","United States",13000000,21689062,"Columbia Pictures",128
Supergirl,PG,Action,1984,1984-11-21,4.4,19000,"Jeannot Szwarc","David Odell","Helen Slater","United Kingdom",35000000,14296438,"Artistry Limited",124
"The Bounty",PG,Adventure,1984,1984-05-04,7,25000,"Roger Donaldson","Robert Bolt","Mel Gibson","United Kingdom",25000000,8613462,"Dino De Laurentiis Company",132
Firestarter,R,Action,1984,1984-05-11,6.1,30000,"Mark L. Lester","Stephen King","Drew Barrymore","United States",15000000,17080167,"Dino De Laurentiis Company",114
C.H.U.D.,R,Horror,1984,1984-08-31,5.6,11000,"Douglas Cheek","Parnell Hall","John Heard","United States",1250000,4654423,"C.H.U.D. Productions",88
"The Woman in Red",PG-13,Comedy,1984,1984-08-15,6,15000,"Gene Wilder","Jean-Loup Dabadie","Gene Wilder","United States",9000000,25348610,"Orion Pictures",87
"Star Trek III: The Search for Spock",PG,Action,1984,1984-06-01,6.7,76000,"Leonard Nimoy","Gene Roddenberry","William Shatner","United States",17000000,76471046,"Paramount Pictures",105
"Repo Man",R,Action,1984,1984-03-02,6.9,35000,"Alex Cox","Alex Cox","Harry Dean Stanton","United States",1500000,129000,"Edge City Productions",92
"2010: the Year We Make Contact",PG,Adventure,1984,1984-12-07,6.8,50000,"Peter Hyams","Arthur C. Clarke","Roy Scheider","United States",28000000,40400657,"Metro-Goldwyn-Mayer (MGM)",116
"The Killing Fields",R,Biography,1984,1985-02-01,7.8,53000,"Roland JoffÃ©","Bruce Robinson","Sam Waterston","United Kingdom",14400000,34700291,"Goldcrest Films International",141
"The Cotton Club",R,Crime,1984,1984-12-14,6.5,17000,"Francis Ford Coppola","William Kennedy","Richard Gere","United States",58000000,25928721,"Zoetrope Studios",127
Starman,PG,Romance,1984,1984-12-14,7,44000,"John Carpenter","Bruce A. Evans","Jeff Bridges","United States",22000000,28744356,"Columbia Pictures",115
"Night of the Comet",PG-13,Comedy,1984,1984-11-16,6.4,19000,"Thom Eberhardt","Thom Eberhardt","Catherine Mary Stewart","United States",700000,14418922,"Atlantic Entertainment Group",95
"The Philadelphia Experiment",PG,Adventure,1984,1984-08-03,6.1,15000,"Stewart Raffill","Michael Janover","Michael ParÃ©","United States",21000000,8103330,"New World Pictures",102
Bolero,R,Comedy,1984,1984-08-31,3,5100,"John Derek","John Derek","Bo Derek","United States",7000000,8914881,"City Films",105
"Cannonball Run II",PG,Action,1984,1984-06-29,5.1,15000,"Hal Needham","Brock Yates","Burt Reynolds","Hong Kong",20000000,28078073,"Arcafin B.V.",108
"Stranger Than Paradise",R,Comedy,1984,1984-10-04,7.5,36000,"Jim Jarmusch","Jim Jarmusch","John Lurie","United States",90000,2436000,"Cinesthesia Productions",89
"The Ice Pirates",PG,Action,1984,1984-03-16,5.7,10000,"Stewart Raffill","Stewart Raffill","Robert Urich","United States",9000000,14255801,"Metro-Goldwyn-Mayer (MGM)",91
"A Passage to India",PG,Adventure,1984,1985-02-01,7.3,18000,"David Lean","E.M. Forster","Judy Davis","United Kingdom",16000000,27201487,"EMI Films",164
"Purple Rain",R,Drama,1984,1984-07-27,6.5,20000,"Albert Magnoli","Albert Magnoli",Prince,"United States",7200000,70263155,"Warner Bros.",111
"The Hotel New Hampshire",R,Comedy,1984,1984-03-09,6,8000,"Tony Richardson","John Irving","Rob Lowe","United Kingdom",7500000,5142858,"Filmline Productions",109
Sheena,PG,Adventure,1984,1984-08-17,4.9,4600,"John Guillermin","David Newman","Tanya Roberts","United Kingdom",25000000,5778353,"Colgems Productions Ltd.",117
"Missing in Action",R,Action,1984,1984-11-16,5.5,14000,"Joseph Zito","Arthur Silver","Chuck Norris","United States",2550000,22812411,"The Cannon Group",101
"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,Adventure,1984,1984-03-30,6.4,18000,"Hugh Hudson","Edgar Rice Burroughs","Christopher Lambert","United Kingdom",30000000,45858563,"Warner Bros.",143
"Falling in Love",PG-13,Drama,1984,1984-11-21,6.5,13000,"Ulu Grosbard","Michael Cristofer","Robert De Niro","United States",12000000,11129057,"Paramount Pictures",106
Birdy,R,Drama,1984,1984-12-21,7.3,22000,"Alan Parker","William Wharton","Matthew Modine","United States",12000000,1455045,"A&M Films",120
"The Company of Wolves",R,Drama,1984,1985-04-19,6.7,15000,"Neil Jordan","Angela Carter","Sarah Patterson","United Kingdom",2000000,4389334,"Incorporated Television Company (ITC)",95
"Racing with the Moon",PG,Comedy,1984,1984-03-23,6.7,4200,"Richard Benjamin","Steve Kloves","Sean Penn","United States",6500000,6045647,Jaffe-Lansing,108
"Silent Night, Deadly Night",R,Horror,1984,1984-11-09,5.9,14000,"Charles E. Sellier Jr.","Paul Caimi","Lilyan Chauvin","United States",1065000,2491460,"TriStar Pictures",79
"The Pope of Greenwich Village",R,Action,1984,1984-06-22,6.7,8000,"Stuart Rosenberg","Vincent Patrick","Eric Roberts","United States",8000000,6836201,"United Artists",121
Rhinestone,PG,Comedy,1984,1984-06-22,3.9,7000,"Bob Clark","Phil Alden Robinson","Sylvester Stallone","United States",28000000,21435321,"Twentieth Century Fox",111
"Swing Shift",PG,Drama,1984,1984-04-13,5.9,4400,"Jonathan Demme","Nancy Dowd","Goldie Hawn","United States",15000000,6650206,"Warner Bros.",100
"Beat Street",PG,Drama,1984,1984-06-08,6.5,3600,"Stan Lathan","Steven Hager","Rae Dawn Chong","United States",9500000,16595791,"Orion Pictures",105
"The Razor's Edge",PG-13,Drama,1984,1984-10-19,6.6,5100,"John Byrum","W. Somerset Maugham","Bill Murray","United Kingdom",13000000,6551987,"Columbia Pictures",128
"Moscow on the Hudson",R,Comedy,1984,1984-04-06,6.5,11000,"Paul Mazursky","Paul Mazursky","Robin Williams","United States",13000000,25068724,"Bavaria Film",115
"The Evil That Men Do",R,Action,1984,1984-09-21,6,3600,"J. Lee Thompson","R. Lance Hill","Charles Bronson",Mexico,4600000,13102025,Capricorn,90
Firstborn,R,Drama,1984,1984-10-26,6.2,2300,"Michael Apted","Ron Koslow","Teri Garr","United States",8000000,6250994,"Paramount Pictures",103
Teachers,R,Comedy,1984,1984-10-05,6.1,4000,"Arthur Hiller","W.R. McKinney","Nick Nolte","United States",9000000,27774237,"United Artists",107
"The River",PG-13,Drama,1984,1985-01-11,6.3,6500,"Mark Rydell","Robert Dillon","Mel Gibson","United States",18000000,11489982,"Universal Pictures",124
"A Soldier's Story",PG,Crime,1984,1984-11-02,7.2,9300,"Norman Jewison","Charles Fuller","Howard E. Rollins Jr.","United States",6000000,21821347,"Columbia Pictures",101
"Irreconcilable Differences",PG,Comedy,1984,1984-09-28,5.8,2900,"Charles Shyer","Nancy Meyers","Ryan O'Neal","United States",6000000,12414210,Hemdale,113
"City Heat",PG,Action,1984,1984-12-07,5.5,9300,"Richard Benjamin","Blake Edwards","Clint Eastwood","United States",25000000,38348988,"Warner Bros.",93
Flashpoint,R,Action,1984,1984-08-31,6.4,2300,"William Tannen","George LaFountaine","Kris Kristofferson","United States",10000000,3854833,"HBO Pictures",93
"Lust in the Dust",R,Comedy,1984,1985-03-01,6.4,3000,"Paul Bartel","Philip John Taylor","Tab Hunter","United States",3000000,727639,"Fox Run Productions Inc.",84
"Thief of Hearts","Not Rated",Crime,1984,1984-10-19,5.8,1600,"Douglas Day Stewart","Douglas Day Stewart","Steven Bauer","United States",9000000,10435015,"Don Simpson/Jerry Bruckheimer Films",100
"The Brother from Another Planet",R,Comedy,1984,1984-09-14,6.8,5700,"John Sayles","John Sayles","Joe Morton","United States",350000,3677209,"Anarchist's Convention Films",108
"Broadway Danny Rose",PG,Comedy,1984,1984-01-27,7.4,24000,"Woody Allen","Woody Allen","Woody Allen","United States",8000000,10600497,"Orion Pictures",84
"Best Defense",R,Comedy,1984,1984-07-20,3.8,5600,"Willard Huyck","Robert Grossbach","Dudley Moore","United States",18000000,19265302,"Cinema Group Ventures",94
"Micki + Maude",PG-13,Comedy,1984,1984-12-21,6,2800,"Blake Edwards","Jonathan Reynolds","Dudley Moore","United States",15100000,26080861,BBE,118
